episode,run_0
500,-25.46452604086869
1000,-25.91533224194281
1500,-22.863225773823114
2000,-14.447562080229405
2500,-11.42461710207257
3000,-8.96998090196998
3500,-9.533078787668797
4000,-9.448659243681067
4500,-9.016049945363136
5000,-9.076304626422493
5500,-9.011098236512938
6000,-8.598503886624787
6500,-8.836590016364552
7000,-8.721254136026861
7500,-8.836930454971474
8000,-8.998432425385367
8500,-8.606477765125318
9000,-9.24006044462842
9500,-9.063039644001085
10000,-8.943363015552222
10500,-8.27857579903173
11000,-9.137216549252752
11500,-8.551787580338265
12000,-8.878041529108446
12500,-8.826146907909163
13000,-9.048611934804125
13500,-8.910923175892584
14000,-8.873581837834008
14500,-8.596178784417662
15000,-8.312469062146741
15500,-8.28792151621146
16000,-8.507783206966694
16500,-8.565369778767126
17000,-8.630767007292361
17500,-8.319179103378168
18000,-8.282563658442928
18500,-8.254753219888663
19000,-8.069985395354307
19500,-8.712107824989369
20000,-8.836627982181847
20500,-8.803454950007414
21000,-8.710649884934767
21500,-8.49081836373877
22000,-8.409391780780407
22500,-8.3691985971067
23000,-8.529493028270494
23500,-8.423371755612639
24000,-8.6945472080802
24500,-8.327472858235982
25000,-8.748120288303566
25500,-8.469765461077953
26000,-8.469230370541332
26500,-8.741780635003074
27000,-8.437621155226411
27500,-8.477740327267584
28000,-8.534990369261237
28500,-8.206026225279944
29000,-8.260624926512996
29500,-8.78888301570827
30000,-8.709644854596851
30500,-8.691841494083857
31000,-8.505859508178347
31500,-8.787813361172319
32000,-8.719094471567736
32500,-8.946328760372758
33000,-8.47808331511949
33500,-8.789706652711601
34000,-8.544222718583308
34500,-8.891876477594225
35000,-8.748836725022882
35500,-8.830957214618287
36000,-8.734712685369662
36500,-8.911157725982248
37000,-8.871531462335358
37500,-8.553621330908296
38000,-8.79719516589724
38500,-8.492072015525336
39000,-8.411014084765633
39500,-8.647183213293513
40000,-8.477867885571888
40500,-9.02322843581566
41000,-9.008364920265738
41500,-8.358700269521412
42000,-8.726029939856264
42500,-8.350543540128722
43000,-8.77973466634101
43500,-8.50857220865352
44000,-8.605794496281145
44500,-8.373249318908668
45000,-8.08089904601288
45500,-8.68916458234741
46000,-8.96457019482954
46500,-8.66812698678893
47000,-8.4316885451225
47500,-8.560368269500787
48000,-8.537620940295275
48500,-8.774004568321427
49000,-8.62075314520779
49500,-8.594919470171954
50000,-8.270153977446093
50500,-8.124000307396527
51000,-8.045920109424259
51500,-8.13491037008368
52000,-8.21709760172732
52500,-8.543691185576568
53000,-8.22063689562006
53500,-8.576904812059203
54000,-8.459782080044304
54500,-8.695793935280816
55000,-9.015075695528907
55500,-8.779106483545023
56000,-8.474898308130694
56500,-8.095141110664681
57000,-8.538112737969092
57500,-8.433888776289278
58000,-8.006063671540407
58500,-8.59855127492714
59000,-8.776396812045322
59500,-8.2011061716118
60000,-8.564860871643509
