episode,run_0
500,-156.20866566876865
1000,-155.02721501664345
1500,-248.31541130459019
2000,-93.38936108349971
2500,-75.57980163054265
3000,-63.11247167704965
3500,-64.29328242924026
4000,-63.6493439073455
4500,-63.7743560999363
5000,-60.07561728921007
5500,-60.688296862319795
6000,-60.62567925758347
6500,-58.63984478807399
7000,-54.10870274243363
7500,-46.311660369375836
8000,-52.67605155601479
8500,-45.15341965378941
9000,-41.74418084707584
9500,-40.743571961515464
10000,-36.08836902500096
10500,-36.29111413834972
11000,-30.348322460176686
11500,-30.560278805535948
12000,-30.42726353169184
12500,-31.401512039464194
13000,-32.32840300238335
13500,-30.95415202856207
14000,-29.312096633479204
14500,-29.85023107235389
15000,-32.237978840958114
15500,-31.436387817470262
16000,-32.356649378949676
16500,-31.106566006632374
17000,-29.586148514573694
17500,-32.38884951216991
18000,-33.38834336042126
18500,-32.203252964930556
19000,-30.127290336976017
19500,-32.05624181905808
20000,-32.99398188967385
20500,-28.055121809882134
21000,-32.78911637681384
21500,-31.03119102664487
22000,-31.903210206569923
22500,-31.544961365535993
23000,-32.42046471279056
23500,-31.509400630821165
24000,-31.691238671619022
24500,-30.173138957189515
25000,-29.059931050884085
25500,-33.129830875485965
26000,-30.0544211182749
26500,-31.961842765148994
27000,-34.586518974645735
27500,-31.019022064782657
28000,-29.569845162199286
28500,-28.767017555950865
29000,-32.402951486429
29500,-30.851100449129255
30000,-30.446274480407375
30500,-30.247837217054823
31000,-31.06004463815407
31500,-30.603051568486737
32000,-30.334061984839412
32500,-29.86306710853047
33000,-30.394653562167008
33500,-29.76033456304771
34000,-29.73304449231061
34500,-31.273876894466873
35000,-33.51377792804536
35500,-31.572594294470065
36000,-27.95557606394435
36500,-31.24326149539988
37000,-31.059248210353406
37500,-33.559738325982224
38000,-32.068385782271385
38500,-31.376962262358703
39000,-31.646386187781157
39500,-30.01661539327511
40000,-29.474655226039985
40500,-30.23210116626769
41000,-29.799574340796468
41500,-31.021683127408032
42000,-29.58905801830427
42500,-31.12588935412311
43000,-29.198451749516092
43500,-29.48756621069585
44000,-32.33972178365163
44500,-30.41660133714405
45000,-29.891165304391237
45500,-32.9848134925387
46000,-30.37475574064297
46500,-30.6882316157664
47000,-34.35326783937938
47500,-33.79001172930404
48000,-29.58247461166954
48500,-29.92664136014099
49000,-29.137294304712224
49500,-31.012698625874044
50000,-29.42357648105064
50500,-38.09284258691628
51000,-29.864122879038113
51500,-29.830174043298054
52000,-28.815353318809652
52500,-31.13979843590152
53000,-29.968254176150488
53500,-31.13417088083868
54000,-30.542882016779167
54500,-33.2245555293388
55000,-31.246033797579283
55500,-32.414802974503424
56000,-31.192273547772214
56500,-30.927482245549335
57000,-31.119265352374896
57500,-31.06249236878899
58000,-31.871086593960236
58500,-34.2264916057501
59000,-31.427229341660215
59500,-32.01448851843486
60000,-31.236773406421083
