episode,run_0
500,-163.08537337322767
1000,-160.45643824100065
1500,-299.2131671784966
2000,-75.75173054368176
2500,-65.98269594991129
3000,-62.623849919620994
3500,-61.97447853409016
4000,-58.66384289238353
4500,-55.094322979275
5000,-52.010620457848994
5500,-51.859823138021994
6000,-50.67079038502906
6500,-48.41488590757025
7000,-47.863892216085716
7500,-46.676473380779676
8000,-53.869341291979204
8500,-48.77724021056599
9000,-47.39244167780532
9500,-48.412010103419014
10000,-49.455744968522325
10500,-51.19712665575872
11000,-46.29291260024381
11500,-45.76586593290197
12000,-45.44521835739994
12500,-46.45621332866422
13000,-49.461362787013144
13500,-48.03879692529369
14000,-47.3909815605548
14500,-45.24272122514114
15000,-48.51405473385214
15500,-47.77187912582174
16000,-50.614909187736394
16500,-47.90413103360446
17000,-47.747730809786354
17500,-47.10125793228504
18000,-48.841681411987025
18500,-49.15087304061316
19000,-46.78533401269419
19500,-48.26542759294469
20000,-48.866736224351804
20500,-44.659437382393676
21000,-49.538805666683366
21500,-52.14213684227944
22000,-48.513548860455586
22500,-48.32058704954791
23000,-50.843490644013144
23500,-49.826074733002926
24000,-46.74003781207116
24500,-46.753808204494625
25000,-46.21924135357851
25500,-49.42169808767694
26000,-49.26126686997054
26500,-52.46637079224154
27000,-48.9153278042271
27500,-44.453028183847564
28000,-39.867147255180704
28500,-37.380957703103
29000,-40.99117061955086
29500,-39.49301900935058
30000,-39.775449866975066
30500,-40.15704087181712
31000,-39.30142304911272
31500,-38.910593905013386
32000,-36.93841836784286
32500,-36.391796634806184
33000,-35.464990977307245
33500,-34.686890928999205
34000,-36.08581983529976
34500,-36.674787558495204
35000,-37.98867659795515
35500,-36.945552190769845
36000,-30.95798334373038
36500,-35.84818185598687
37000,-35.15357326655893
37500,-38.10870108298961
38000,-35.0512197116869
38500,-35.73070157055798
39000,-36.58529876932608
39500,-33.48712529439225
40000,-34.96517116578488
40500,-33.75527374899852
41000,-34.49470764454674
41500,-34.38546573443162
42000,-33.989532405298164
42500,-36.17332124534839
43000,-32.26932547157894
43500,-33.481343220923854
44000,-37.273790352582914
44500,-35.24779196400786
45000,-32.949460661143206
45500,-36.13606726881195
46000,-33.33909824813102
46500,-34.037466359345885
47000,-35.098864262679015
47500,-35.95388933439972
48000,-34.43790690795179
48500,-35.34063152505042
49000,-34.99898912455134
49500,-37.0237357317616
50000,-34.746166802226334
50500,-35.34040062205077
51000,-34.289133055815505
51500,-34.90585864542126
52000,-33.31138047639723
52500,-36.49184928868206
53000,-35.215433952663886
53500,-36.59862795317763
54000,-35.37800935021195
54500,-37.45480435926623
55000,-36.539544460943276
55500,-37.776949828321186
56000,-37.352068034951394
56500,-37.19347517324794
57000,-38.49417531423661
57500,-38.549762714048526
58000,-39.8531864404059
58500,-41.74604921688145
59000,-39.76181330385036
59500,-40.29538456171132
60000,-39.78943426854714
