episode,run_0
500,-669.0155832395764
1000,-659.9365678193936
1500,-797.1343297447346
2000,-682.2813277113547
2500,-607.6521174362246
3000,-580.2841343845439
3500,-577.0786004753336
4000,-553.6511395395147
4500,-541.9312628390142
5000,-538.3813867330069
5500,-521.9961098298949
6000,-522.0994377082984
6500,-518.7759047073404
7000,-516.0545147666345
7500,-501.516118522803
8000,-504.7614617550486
8500,-503.7608727957629
9000,-500.56322843829935
9500,-494.55590929182307
10000,-486.07638459865274
10500,-484.0864417913108
11000,-488.35246312136167
11500,-490.79968546418775
12000,-482.3723441829024
12500,-487.5695656112315
13000,-483.7212446617362
13500,-478.1981465242971
14000,-483.0958883748114
14500,-479.2766482260882
15000,-480.2713121524107
15500,-474.44326653649307
16000,-479.87551415614587
16500,-476.16687239170375
17000,-473.7627165732335
17500,-471.6084312943623
18000,-465.4888656194287
18500,-469.92775718414623
19000,-476.3038500788811
19500,-469.41614974076566
20000,-470.6367203118467
20500,-468.800244121282
21000,-469.92673670784654
21500,-470.2648495426603
22000,-462.65482914415037
22500,-468.50827584531555
23000,-461.6254007392541
23500,-466.789713629669
24000,-464.0183720849205
24500,-456.74838052562
25000,-456.5897585461232
25500,-453.3591686296873
26000,-452.70937677361115
26500,-452.5594226103748
27000,-446.64826520838284
27500,-440.5175829554928
28000,-440.84558711255414
28500,-442.53874446964187
29000,-451.1284463091652
29500,-441.2980305817443
30000,-438.13634267161285
30500,-440.26143112503047
31000,-435.12369923318874
31500,-432.6193113939264
32000,-431.95893438745844
32500,-436.2574067664675
33000,-422.30426441100906
33500,-423.7136927396232
34000,-426.6490324264946
34500,-423.6640841981356
35000,-420.62133857035553
35500,-418.1179928972078
36000,-426.0063265935754
36500,-410.7491360070651
37000,-421.9502739188521
37500,-419.07886964369555
38000,-417.154118129933
38500,-412.83905527482153
39000,-415.4752566517444
39500,-418.5203055978062
40000,-412.8918108914329
40500,-415.7905901536328
41000,-417.0824201404182
41500,-413.06185984354676
42000,-414.7816114921812
42500,-415.82731138311067
43000,-415.73716059635404
43500,-414.77677658541245
44000,-417.2553831939441
44500,-415.3114700980681
45000,-415.1686736238628
45500,-416.4436810684367
46000,-417.3095237819246
46500,-409.909926049663
47000,-414.06655167246436
47500,-414.3283915445769
48000,-410.77228259989886
48500,-411.041173738186
49000,-413.2261057780811
49500,-414.84801384777796
50000,-413.551686051651
50500,-417.2054561603435
51000,-409.43819340495133
51500,-412.9561252521715
52000,-411.20634042132997
52500,-412.77658491547834
53000,-408.6879206948575
53500,-413.1833526638397
54000,-406.7264142096131
54500,-407.9983189997807
55000,-407.84455526575704
55500,-407.56001988654674
56000,-404.051110441216
56500,-407.9248335656917
57000,-406.51682653804835
57500,-404.2591058200715
58000,-401.868536515706
58500,-403.49399921674575
59000,-399.63689118930006
59500,-401.83242400038574
60000,-404.7064889606344
