episode,run_0
500,-668.8477238366127
1000,-668.1904778668178
1500,-964.0965298610671
2000,-1010.9979225335427
2500,-778.5069008156047
3000,-658.2607966106692
3500,-618.6109764844247
4000,-598.8433783953321
4500,-619.1554532834792
5000,-623.3409302914835
5500,-610.2376768430648
6000,-599.3029540276461
6500,-583.4115593220654
7000,-574.7663907479812
7500,-560.1980206691319
8000,-564.9786690854959
8500,-564.4990708289414
9000,-571.1412656612341
9500,-564.3131007308839
10000,-561.2131063193142
10500,-555.7314665846172
11000,-557.735067794262
11500,-562.1188338502949
12000,-558.9277798044902
12500,-559.727070024445
13000,-552.364768038811
13500,-547.5606530411835
14000,-540.7046030506781
14500,-539.9817257012558
15000,-537.6191265953838
15500,-527.2918108937621
16000,-526.5367526720055
16500,-528.5034997153817
17000,-519.210345145427
17500,-513.7197918211446
18000,-508.75041130131183
18500,-512.0639113153628
19000,-513.0246313688499
19500,-512.3719813368093
20000,-505.84590298932153
20500,-503.54051316220733
21000,-503.56673797788073
21500,-504.2549095727163
22000,-493.58702931636697
22500,-498.28021312120103
23000,-491.9430546318395
23500,-500.07142476314556
24000,-492.83558521679714
24500,-489.0975385367321
25000,-488.23093704456255
25500,-483.00769852133527
26000,-489.3102778767518
26500,-487.954692368569
27000,-488.7273509799461
27500,-484.6555325665212
28000,-485.6205651989025
28500,-488.06044907878675
29000,-486.86611971785084
29500,-483.806846008796
30000,-486.6982646394458
30500,-487.8270854166535
31000,-489.2805610872746
31500,-477.97357386703646
32000,-475.66264900829435
32500,-481.1014981876359
33000,-474.92344623975544
33500,-478.37482903265044
34000,-481.88521418126214
34500,-475.4767463894852
35000,-478.51615270910844
35500,-471.919883684355
36000,-479.0134151871375
36500,-468.804300543043
37000,-474.3402584304564
37500,-470.5458927933812
38000,-473.14121299990245
38500,-469.4207130095521
39000,-471.40453225384164
39500,-470.5815631470246
40000,-467.6534569285196
40500,-463.86787424826264
41000,-469.36714889470176
41500,-463.53443655443215
42000,-468.9549552143051
42500,-464.50638639188367
43000,-468.58522311398747
43500,-467.35752109856116
44000,-463.8546813904262
44500,-470.08284387229696
45000,-463.3057355675174
45500,-464.3267296736333
46000,-468.44196392722324
46500,-458.3799998342736
47000,-460.31953918930003
47500,-459.0022922189336
48000,-463.88359002629574
48500,-462.2788303082869
49000,-464.89942720261433
49500,-460.39310238902925
50000,-456.5518245877967
50500,-461.2661041957877
51000,-455.2084723643223
51500,-459.56377374394503
52000,-459.5015436899367
52500,-458.162432157441
53000,-457.7479994312922
53500,-458.23553539200606
54000,-454.68958874959037
54500,-459.6172663310428
55000,-459.63727214275144
55500,-454.60081853526947
56000,-451.89903494083325
56500,-457.1908272823433
57000,-456.19626030388696
57500,-457.1903650631151
58000,-450.35437040522703
58500,-453.3794023973161
59000,-460.00652568004836
59500,-458.0392884687128
60000,-456.423776585458
