episode,run_0
500,-675.8169671506796
1000,-670.8143060924523
1500,-877.7672921307857
2000,-685.9200638647926
2500,-637.5703307804779
3000,-582.6496452065231
3500,-579.8959251714689
4000,-555.4319456770377
4500,-536.7247399156608
5000,-545.6051509410502
5500,-527.8945334069047
6000,-532.5440375784793
6500,-525.3142882022555
7000,-512.2563201295894
7500,-504.29348410359466
8000,-506.22587925294823
8500,-505.9013915620653
9000,-505.00473541155014
9500,-500.4958853602983
10000,-500.5931299254592
10500,-489.07912528951204
11000,-493.85909889829276
11500,-491.344599298461
12000,-490.7134467130278
12500,-494.4759651083632
13000,-485.55133684714406
13500,-479.3417135905762
14000,-486.89601422416615
14500,-483.345732581018
15000,-479.790195884258
15500,-477.1315112232275
16000,-476.9778665490935
16500,-475.80210349698086
17000,-477.35420490988776
17500,-473.5102370334499
18000,-466.2115659363262
18500,-466.8150349452847
19000,-471.5549423350389
19500,-468.67207873527275
20000,-463.0976281463873
20500,-459.7534445217232
21000,-474.19633246702705
21500,-465.2553630848505
22000,-458.94973622400505
22500,-467.02842502403115
23000,-463.21288833050056
23500,-463.9786969374604
24000,-464.74862271748395
24500,-460.8531474078996
25000,-455.2043592252262
25500,-453.35862186077657
26000,-451.87767635577706
26500,-456.0019941947074
27000,-450.5672757259131
27500,-451.92218471074
28000,-446.82797679092187
28500,-452.65573445612625
29000,-453.0163368648227
29500,-448.60502599920085
30000,-448.5889141609281
30500,-451.429365398698
31000,-446.7816907798074
31500,-440.66958784319866
32000,-444.1585018371488
32500,-446.69827074267084
33000,-444.476098375734
33500,-440.9912807994091
34000,-442.74398812039334
34500,-440.2326406071962
35000,-438.7537027255004
35500,-440.680611412196
36000,-444.31738415422734
36500,-432.98131236245285
37000,-446.7476037048935
37500,-438.4227473840649
38000,-438.9916391417725
38500,-433.8523498850261
39000,-435.1702284908523
39500,-437.09477756287714
40000,-434.308730808048
40500,-432.865384925849
41000,-435.8769509745955
41500,-430.33233866831324
42000,-435.84148736921003
42500,-431.48081248965207
43000,-433.7026725965402
43500,-434.6952103456607
44000,-427.68420724989716
44500,-431.3185883806797
45000,-430.04963054163085
45500,-433.4748348730501
46000,-437.9849737333129
46500,-424.21390960125024
47000,-426.1029074284126
47500,-427.12296968312376
48000,-423.17460862546545
48500,-425.3668371434952
49000,-429.371672845045
49500,-426.07499322134316
50000,-425.0485862389701
50500,-426.68374958646183
51000,-421.8257048227451
51500,-424.7553922503572
52000,-422.52487416770765
52500,-419.9927253414103
53000,-417.2876894089526
53500,-423.53817351596484
54000,-416.8272789530902
54500,-421.7984304583709
55000,-420.03277004031594
55500,-420.9796149995433
56000,-414.7375210645232
56500,-418.5048027796971
57000,-417.585678713017
57500,-417.55410339697994
58000,-415.6397869442039
58500,-419.15002153003286
59000,-414.1678437679447
59500,-421.79974085242253
60000,-417.8814765408044
