episode,run_0
500,-666.5830684944549
1000,-671.1555074511471
1500,-878.837719485662
2000,-671.5775392113791
2500,-602.1084355221046
3000,-597.7960186689938
3500,-595.0264716635309
4000,-577.1139114736644
4500,-557.5526068288002
5000,-550.7568296521546
5500,-542.8197891036742
6000,-543.8066569711691
6500,-533.8804162880366
7000,-528.3938362534104
7500,-516.047202400106
8000,-518.1846749002302
8500,-520.2614922301896
9000,-515.2619645064417
9500,-512.4221671478215
10000,-508.4141289101846
10500,-511.90054448044475
11000,-512.2439787288001
11500,-508.25120868741493
12000,-504.01319266602457
12500,-511.67690035727213
13000,-510.08431022949657
13500,-505.9570340328754
14000,-505.5319407443902
14500,-508.4779504428626
15000,-514.2751650555466
15500,-507.00868279730054
16000,-503.2400171058945
16500,-509.32363175130746
17000,-510.4140868580537
17500,-505.53194113693047
18000,-500.9407902227442
18500,-502.4651460259439
19000,-510.4510880427147
19500,-506.8608179297688
20000,-503.9758449569249
20500,-494.944452658381
21000,-504.46782222342256
21500,-497.9276527887568
22000,-491.8679671732621
22500,-503.2961221445431
23000,-492.33111214375316
23500,-500.1201509913637
24000,-498.4756179144764
24500,-491.95268156064265
25000,-490.3719183656878
25500,-486.35505484821437
26000,-498.0769051684094
26500,-496.049620139677
27000,-489.40533289378163
27500,-489.6382222188694
28000,-484.78757034042883
28500,-492.2049450366427
29000,-489.3764654237656
29500,-483.32699896399856
30000,-484.7809620333718
30500,-492.4639269550318
31000,-481.3288446944626
31500,-479.7421450395448
32000,-481.2794485990391
32500,-484.0989180732948
33000,-475.98856005625953
33500,-481.4503194184437
34000,-481.1353842209586
34500,-484.1842526217981
35000,-482.72530742200115
35500,-476.46584260198637
36000,-480.63099533361986
36500,-476.4842643313686
37000,-486.60041284255146
37500,-478.58550948112804
38000,-481.9406789740156
38500,-477.63592618091565
39000,-475.37894222402656
39500,-477.50114785813827
40000,-472.71848832171503
40500,-474.99676170342957
41000,-472.07440526763816
41500,-471.1477829202843
42000,-478.0951234241028
42500,-473.82854546628823
43000,-469.37381667357783
43500,-475.3923117881813
44000,-474.1985609614367
44500,-476.8367966311919
45000,-475.8651055477736
45500,-474.1540551472153
46000,-477.1439951916929
46500,-467.0625439630118
47000,-472.7907471360341
47500,-468.6345080681241
48000,-470.1119498443045
48500,-468.40181905001026
49000,-474.8907410246171
49500,-475.94268339941175
50000,-470.89887139760134
50500,-473.5958456346431
51000,-473.8054806925769
51500,-470.75807862454786
52000,-466.9448291615126
52500,-468.8814696965074
53000,-464.86780627264505
53500,-467.62551034061903
54000,-467.47458471787803
54500,-472.3150486889962
55000,-466.37462694359624
55500,-463.5985148454705
56000,-461.0759138928979
56500,-463.0699404118745
57000,-465.4700363969046
57500,-457.3988105041203
58000,-463.4063602203044
58500,-464.4280744665528
59000,-461.48823599883855
59500,-463.1625977457689
60000,-462.87077818636584
