episode,run_0
500,-163.7671924043931
1000,-157.9761439190311
1500,-229.12397670887222
2000,nan
2500,nan
3000,nan
3500,nan
4000,nan
4500,nan
5000,nan
5500,nan
6000,nan
6500,nan
7000,nan
7500,nan
8000,nan
8500,nan
9000,nan
9500,nan
10000,nan
10500,nan
11000,nan
11500,nan
12000,nan
12500,nan
13000,nan
13500,nan
14000,nan
14500,nan
15000,nan
15500,nan
16000,nan
16500,nan
17000,nan
17500,nan
18000,nan
18500,nan
19000,nan
19500,nan
20000,nan
20500,nan
21000,nan
21500,nan
22000,nan
22500,nan
23000,nan
23500,nan
24000,nan
24500,nan
25000,nan
25500,nan
26000,nan
26500,nan
27000,nan
27500,nan
28000,nan
28500,nan
29000,nan
29500,nan
30000,nan
30500,nan
31000,nan
31500,nan
32000,nan
32500,nan
33000,nan
33500,nan
34000,nan
34500,nan
35000,nan
35500,nan
36000,nan
36500,nan
37000,nan
37500,nan
38000,nan
38500,nan
39000,nan
39500,nan
40000,nan
40500,nan
41000,nan
41500,nan
42000,nan
42500,nan
43000,nan
43500,nan
44000,nan
44500,nan
45000,nan
45500,nan
46000,nan
46500,nan
47000,nan
47500,nan
48000,nan
48500,nan
49000,nan
49500,nan
50000,nan
50500,nan
51000,nan
51500,nan
52000,nan
52500,nan
53000,nan
53500,nan
54000,nan
54500,nan
55000,nan
55500,nan
56000,nan
56500,nan
57000,nan
57500,nan
58000,nan
58500,nan
59000,nan
59500,nan
60000,nan
