episode,run_0
500,-144.61239737141685
1000,-144.05817592237088
1500,-142.6757958220185
2000,-65.25131672193878
2500,-59.84569388707461
3000,-54.93451359589492
3500,-52.19088678103818
4000,-47.26052483655998
4500,-42.410333743588424
5000,-34.713330776149725
5500,-31.709617296635333
6000,-31.014067787513547
6500,-29.467029338526928
7000,-29.43598231444424
7500,-29.488046739210287
8000,-34.63244888872625
8500,-31.039798210831325
9000,-29.073585484271298
9500,-30.967866789295442
10000,-29.6357317043354
10500,-31.800050427161874
11000,-28.282035079622414
11500,-30.33626521313376
12000,-30.605816950241916
12500,-31.763611827957256
13000,-32.039738707942256
13500,-31.84663401546103
14000,-29.41667071894533
14500,-29.760911111873398
15000,-30.74444934511363
15500,-30.36320937092485
16000,-31.1797117050177
16500,-29.950541611947084
17000,-29.980914445367322
17500,-31.850981575028356
18000,-32.658356251869606
18500,-30.88550547155105
19000,-29.561758257762534
19500,-31.697114348900683
20000,-32.99699260036074
20500,-29.068063940074264
21000,-33.44917276271855
21500,-31.01502871613321
22000,-31.547869538538567
22500,-31.784280531502603
23000,-33.469444160625294
23500,-31.866709404879703
24000,-31.401677133007937
24500,-31.19060997610173
25000,-31.510232104649248
25500,-34.728832281541145
26000,-32.92943724399318
26500,-34.44263456702048
27000,-37.82123506939303
27500,-33.91301246707109
28000,-32.87218098925313
28500,-31.899341912081326
29000,-35.35090310521344
29500,-33.64784618916359
30000,-33.18906639626771
30500,-33.18948373928044
31000,-33.16044744668469
31500,-33.08375484858907
32000,-32.48805883435343
32500,-32.23988208124809
33000,-32.113462617080955
33500,-31.613277343202263
34000,-31.947230079733185
34500,-32.87698154839041
35000,-34.62890055211925
35500,-32.82852068096502
36000,-29.035118497061994
36500,-32.05260350816451
37000,-32.046623814376005
37500,-34.7601805129693
38000,-33.02390571560429
38500,-33.37994299557715
39000,-32.87967135247597
39500,-31.401437450095546
40000,-31.364465023811384
40500,-33.26331525572991
41000,-31.004272434095956
41500,-32.34717837568248
42000,-29.469114212160544
42500,-32.203005000921756
43000,-29.451540241954778
43500,-49.35929847003487
44000,-31.181179453310822
44500,-36.73235368910091
45000,-30.7049923387297
45500,-34.061435629851026
46000,-32.65603708510897
46500,-45.90531130989718
47000,-42.45174973439541
47500,-32.15693365715679
48000,-32.929353465929694
48500,-32.89215020948491
49000,-32.36793829141427
49500,-33.12915917868283
50000,-32.13449261913035
50500,-37.91605684675051
51000,-30.036972416003717
51500,-30.149728492750196
52000,-30.267731225492476
52500,-31.435176513605697
53000,-34.572724298208335
53500,-33.12635478888178
54000,-35.07495931923966
54500,-39.411441578023805
55000,-31.669976917101202
55500,-32.838146431214355
56000,-37.61412457496968
56500,-32.28244670686395
57000,-32.144215060018816
57500,-31.24036733166122
58000,-33.6340547725302
58500,-34.088543055525996
59000,-31.671511446656062
59500,-32.7116420271367
60000,-32.3621205108776
