episode,run_0
500,-680.8465858878288
1000,-672.5043140774809
1500,-841.4155585826263
2000,-691.9222605847783
2500,-614.662557242659
3000,-588.1288197520084
3500,-572.852987742976
4000,-550.6595352367226
4500,-536.033074175538
5000,-537.5515116851218
5500,-521.5512934822802
6000,-523.8570184993225
6500,-514.3197673414318
7000,-515.7474402685262
7500,-511.52011187167767
8000,-503.03408599338053
8500,-503.3692447070044
9000,-504.04695379904206
9500,-497.3497837673129
10000,-492.18318382433944
10500,-488.5416567711842
11000,-491.2248352716905
11500,-485.79019264392286
12000,-480.1308472435849
12500,-483.21915411203287
13000,-475.39535549878104
13500,-466.4182009528912
14000,-471.1218120459749
14500,-466.3185388093921
15000,-471.28823871153486
15500,-454.1288285280513
16000,-455.6421940875677
16500,-453.4312640920539
17000,-452.8468084709833
17500,-452.5998809610272
18000,-449.9728333818973
18500,-450.8196366349381
19000,-446.25577005278825
19500,-454.92344969697496
20000,-450.6884633582864
20500,-448.67416419099214
21000,-449.7473942778335
21500,-447.0811894305132
22000,-445.3853886479202
22500,-448.39672334549243
23000,-442.7860403456147
23500,-449.5449402686314
24000,-445.7758516550186
24500,-438.7597036843125
25000,-445.1552242583565
25500,-435.58079879454914
26000,-446.11804028487893
26500,-442.11337755726953
27000,-437.1569490601985
27500,-431.4064808712609
28000,-438.02702883144934
28500,-437.7104123067545
29000,-432.2875623686847
29500,-427.93481172055067
30000,-430.91179497018106
30500,-436.929219131934
31000,-437.47080131407824
31500,-430.0857815572432
32000,-429.6483665522784
32500,-431.02038766652413
33000,-427.82973646174383
33500,-428.07758580134765
34000,-425.972685776663
34500,-431.7527666741719
35000,-427.72651572466515
35500,-422.54371306560563
36000,-428.40289665374695
36500,-424.64104140472557
37000,-425.6360973695816
37500,-424.42154056853525
38000,-425.4949336329147
38500,-423.69019617853746
39000,-420.2134357885384
39500,-424.926569327838
40000,-422.48991429375576
40500,-414.31867775755114
41000,-420.63194614151087
41500,-417.28925527494005
42000,-417.9960933895156
42500,-414.30814240522136
43000,-411.4380127447024
43500,-417.9541201271044
44000,-413.044181793179
44500,-421.13091564423934
45000,-411.53666684152114
45500,-414.5290641708573
46000,-412.63935172201553
46500,-408.07133636155953
47000,-407.54710673975154
47500,-406.7156650142872
48000,-406.9059554254909
48500,-404.19173353758634
49000,-415.0167611041834
49500,-412.09069284937533
50000,-404.94689557924374
50500,-412.4624128534703
51000,-407.64425013028153
51500,-407.0324761969299
52000,-408.9199556582694
52500,-407.53076087435267
53000,-402.7694807314532
53500,-405.2114131476073
54000,-400.3467755792928
54500,-408.3188725851701
55000,-403.80822560373684
55500,-406.1808172772567
56000,-402.8173178724575
56500,-401.50274883026026
57000,-400.08945875229887
57500,-397.5519928160216
58000,-400.59707687599627
58500,-402.2506657414021
59000,-402.53209831985794
59500,-404.58428642021795
60000,-404.4321013239821
