episode,run_0
500,-674.4509437113139
1000,-668.1799716938737
1500,-867.4962103045683
2000,-855.1467655255466
2500,-650.3716162223658
3000,-602.4264204375901
3500,-605.3680697814488
4000,-598.0449627116933
4500,-600.1135070380448
5000,-597.8724024281233
5500,-570.9503950982044
6000,-578.022465900115
6500,-567.6525423189804
7000,-561.9247932522945
7500,-545.597739933136
8000,-550.4757606442025
8500,-547.2128589651298
9000,-547.8249751481969
9500,-540.6064421571873
10000,-531.0257985945062
10500,-526.2867634835378
11000,-527.4633582721125
11500,-525.4463379461014
12000,-514.4488896104428
12500,-522.6146076515978
13000,-509.77300472266734
13500,-509.22111668371576
14000,-509.16562272580455
14500,-509.1698020926195
15000,-508.67841555302107
15500,-502.37070022732934
16000,-500.3007002496339
16500,-502.9236357962511
17000,-498.86067408755633
17500,-490.02573442351735
18000,-488.32195927100037
18500,-492.4789854121608
19000,-490.3471276303092
19500,-489.37341855379344
20000,-488.9157630015358
20500,-483.7156571309544
21000,-488.0904970888947
21500,-483.5561222532505
22000,-478.9536747804881
22500,-482.5966118187454
23000,-478.8812779471972
23500,-481.16806412530474
24000,-479.09476062826263
24500,-476.77029659774263
25000,-474.7280855262752
25500,-469.1695380437301
26000,-468.9679197932929
26500,-468.094612434256
27000,-470.57546055901224
27500,-465.0224294313056
28000,-464.14893039850676
28500,-467.80305207990983
29000,-466.36612358876715
29500,-466.55284037110755
30000,-465.31400843294705
30500,-470.7972502756462
31000,-470.28035506607495
31500,-461.4003101553406
32000,-461.183264822386
32500,-469.6616828667852
33000,-465.075135260029
33500,-462.85721998068453
34000,-463.80942744214104
34500,-466.363185575715
35000,-463.20307360804185
35500,-465.8576951335293
36000,-464.9140814754362
36500,-460.147472394379
37000,-463.1062890268549
37500,-466.8944130915459
38000,-465.5949704720057
38500,-464.6130995958516
39000,-466.8652709299284
39500,-469.6052302872948
40000,-462.49002822215834
40500,-463.70944725476704
41000,-459.67977488787506
41500,-458.09171643178746
42000,-463.14238990551667
42500,-461.6600385931778
43000,-460.86785892824213
43500,-459.65210647891496
44000,-458.7387278756633
44500,-458.0392111109263
45000,-457.0718278206034
45500,-454.3992885029869
46000,-456.4596496708383
46500,-452.6934889308451
47000,-450.3247289830714
47500,-451.73353156539577
48000,-447.2293145347392
48500,-450.12304536902917
49000,-450.41855088623913
49500,-444.183273873821
50000,-447.69296842189317
50500,-452.86867290894196
51000,-447.89786716064907
51500,-447.28690483173494
52000,-441.55187870557285
52500,-443.6593461476231
53000,-439.84815205417635
53500,-442.89724533412607
54000,-438.0750127806693
54500,-444.2365567753485
55000,-436.0242369109959
55500,-445.66349342514985
56000,-434.01211256198565
56500,-439.7681668401221
57000,-436.0641815558009
57500,-434.3630277185435
58000,-437.51667370914134
58500,-435.7935225245081
59000,-430.6241132343039
59500,-434.9610835277395
60000,-436.3621302578114
