episode,run_0
500,-678.6876516804597
1000,-669.8590030895186
1500,-739.8186801335879
2000,-679.4895520615016
2500,-606.8618636101708
3000,-591.78489919997
3500,-580.9912241831667
4000,-562.3200870257555
4500,-542.612777523678
5000,-537.2409332160007
5500,-527.4208145902082
6000,-528.1347830967854
6500,-526.5388871526345
7000,-525.8918221246256
7500,-512.1952480004462
8000,-511.80026258119585
8500,-506.97459910120756
9000,-511.67774158824795
9500,-502.7401769110479
10000,-489.5958094137309
10500,-489.01894497587995
11000,-493.13220918971126
11500,-486.92813752574506
12000,-481.0887152710761
12500,-485.4168944806796
13000,-478.35472017790346
13500,-470.04745155126017
14000,-477.3102151520739
14500,-470.41260348021854
15000,-475.8977127060471
15500,-469.73907591281426
16000,-460.9575536841326
16500,-466.9407904960475
17000,-467.05036478091154
17500,-463.6510029841574
18000,-456.09324554407664
18500,-456.5783516158698
19000,-456.15952790969317
19500,-462.7274556826124
20000,-457.2265584318712
20500,-451.89952526586586
21000,-454.36439691944935
21500,-456.0937406811011
22000,-447.3874589820463
22500,-450.42731351817224
23000,-449.3584824517312
23500,-449.5032484097624
24000,-448.05776137561315
24500,-445.79148643078526
25000,-444.8959689078973
25500,-441.11459388882025
26000,-439.1707076285388
26500,-446.3988066781268
27000,-446.32958762353775
27500,-435.9846790850531
28000,-437.3384872831183
28500,-437.6735903421332
29000,-438.3516327115202
29500,-435.8169256563118
30000,-435.77892217463665
30500,-441.5491824740434
31000,-434.39122033306495
31500,-427.0200335285112
32000,-427.94176493974965
32500,-430.7645864360148
33000,-421.6713199894293
33500,-423.7311425293702
34000,-429.45865159555984
34500,-428.49787219592787
35000,-423.45948677812845
35500,-422.8117081812319
36000,-430.8515584660592
36500,-417.94630615110543
37000,-429.095743816382
37500,-426.9987291501948
38000,-424.02309392297184
38500,-426.2875745978286
39000,-422.0770336672264
39500,-425.1175573181938
40000,-424.6793794427296
40500,-421.0162272462448
41000,-423.56845628053907
41500,-419.9714969447243
42000,-420.86967865419734
42500,-424.10081218532457
43000,-421.71907742663313
43500,-424.73080639384773
44000,-421.2195117708941
44500,-424.3761771111577
45000,-421.1951412701814
45500,-423.2850816618804
46000,-421.8102880230254
46500,-414.17027629718837
47000,-418.32426382631434
47500,-417.64916726714097
48000,-415.2495333024457
48500,-418.30886327589377
49000,-424.9792517702192
49500,-422.3259363306471
50000,-420.9956062651498
50500,-420.18373629113046
51000,-422.98353908603025
51500,-419.62832142173454
52000,-421.37722983641106
52500,-420.57405072879936
53000,-413.40212430159175
53500,-417.8428395884419
54000,-412.5097841891121
54500,-416.3133602017704
55000,-416.4306344716302
55500,-411.66962551495385
56000,-409.68488638676774
56500,-411.25079951240167
57000,-414.54432587560746
57500,-405.84865606808944
58000,-412.0339418592041
58500,-408.2924583320782
59000,-407.09409651143403
59500,-413.30640799504977
60000,-412.7840022439361
