scenario,algo,delay_k,best_reward_with_diffusion,reward_noisy
simple_adversary,ERNIE,1,3.48±0.18,2.13±0.15
simple_adversary,ERNIE,2,1.74±0.11,-0.15±0.28
simple_adversary,ERNIE,3,1.03±0.30,-2.44±0.21
simple_adversary,ERNIE,5,0.00±0.25,-7.72±0.32
simple_adversary,ERNIE,8,-1.01±0.39,-20.75±0.84
simple_adversary,M3DDPG,1,3.18±0.23,2.56±0.35
simple_adversary,M3DDPG,2,1.68±0.21,0.43±0.28
simple_adversary,M3DDPG,3,0.49±0.25,-1.89±0.09
simple_adversary,M3DDPG,5,-0.47±0.15,-6.86±0.18
simple_adversary,M3DDPG,8,-1.58±0.21,-20.01±0.47
simple_adversary,MADDPG,1,2.86±0.13,2.44±0.08
simple_adversary,MADDPG,2,1.02±0.10,-0.25±0.31
simple_adversary,MADDPG,3,0.48±0.27,-3.00±0.24
simple_adversary,MADDPG,5,-0.61±0.22,-8.65±0.33
simple_adversary,MADDPG,8,-1.96±0.24,-22.09±0.23
simple_adversary,RMAAC,1,2.56±0.19,1.77±0.13
simple_adversary,RMAAC,2,1.21±0.07,-0.41±0.33
simple_adversary,RMAAC,3,0.26±0.28,-2.31±0.09
simple_adversary,RMAAC,5,-0.64±0.26,-7.62±0.45
simple_adversary,RMAAC,8,-1.44±0.55,-19.93±0.18
simple_push,ERNIE,1,-11.05±0.14,-9.58±0.12
simple_push,ERNIE,2,-11.19±0.14,-11.63±0.04
simple_push,ERNIE,3,-11.45±0.24,-13.65±0.02
simple_push,ERNIE,5,-12.14±0.18,-18.26±0.15
simple_push,ERNIE,8,-12.86±0.04,-24.28±0.09
simple_push,M3DDPG,1,-11.04±0.12,-9.32±0.06
simple_push,M3DDPG,2,-11.18±0.10,-11.35±0.03
simple_push,M3DDPG,3,-11.42±0.23,-13.46±0.08
simple_push,M3DDPG,5,-12.10±0.11,-17.97±0.16
simple_push,M3DDPG,8,-12.73±0.09,-24.03±0.11
simple_push,MADDPG,1,-10.99±0.17,-9.66±0.12
simple_push,MADDPG,2,-11.18±0.08,-11.61±0.09
simple_push,MADDPG,3,-11.39±0.18,-13.67±0.11
simple_push,MADDPG,5,-12.02±0.08,-18.18±0.27
simple_push,MADDPG,8,-12.67±0.16,-24.35±0.04
simple_push,RMAAC,1,-11.13±0.09,-9.72±0.34
simple_push,RMAAC,2,-11.23±0.09,-11.38±0.22
simple_push,RMAAC,3,-11.44±0.22,-13.76±0.25
simple_push,RMAAC,5,-12.03±0.12,-18.09±0.18
simple_push,RMAAC,8,-12.85±0.08,-23.71±0.13
simple_speaker_listener,ERNIE,1,-59.64±2.70,-60.44±0.14
simple_speaker_listener,ERNIE,2,-56.68±1.26,-61.19±0.27
simple_speaker_listener,ERNIE,3,-58.92±2.21,-66.36±0.73
simple_speaker_listener,ERNIE,5,-60.52±0.53,-82.02±0.62
