scenario,algo,noise_mu,action_noise_std,best_reward_with_diffusion,reward_noise_no_diffusion
simple_adversary,ERNIE,-1,0.0,5.12±1.49,4.55±0.21
simple_adversary,ERNIE,-1,1.0,0.61±1.64,-3.41±0.57
simple_adversary,ERNIE,-1,2.0,-4.45±0.72,-14.30±0.95
simple_adversary,ERNIE,-1,3.0,-6.29±0.47,-22.47±1.76
simple_adversary,M3DDPG,-1,0.0,3.83±0.82,3.92±0.30
simple_adversary,M3DDPG,-1,1.0,-0.30±1.19,-2.75±1.14
simple_adversary,M3DDPG,-1,2.0,-4.32±1.21,-13.46±1.72
simple_adversary,M3DDPG,-1,3.0,-6.62±1.04,-21.64±0.43
simple_adversary,MADDPG,-1,0.0,4.51±0.88,4.49±0.41
simple_adversary,MADDPG,-1,1.0,-1.01±1.50,-4.66±1.83
simple_adversary,MADDPG,-1,2.0,-4.98±1.49,-16.28±1.11
simple_adversary,MADDPG,-1,3.0,-7.59±0.91,-24.11±1.25
simple_adversary,RMAAC,-1,0.0,3.57±0.65,3.72±0.24
simple_adversary,RMAAC,-1,1.0,0.34±1.67,-2.90±0.55
simple_adversary,RMAAC,-1,2.0,-4.55±0.59,-15.38±0.59
simple_adversary,RMAAC,-1,3.0,-6.28±0.59,-23.34±1.05
simple_adversary,ERNIE,0,0.0,4.58±0.90,4.12±0.33
simple_adversary,ERNIE,0,0.4,3.90±0.63,2.72±0.45
simple_adversary,ERNIE,0,0.8,1.60±0.77,-0.82±0.57
simple_adversary,ERNIE,0,1.0,-0.67±0.28,-3.57±0.61
simple_adversary,ERNIE,0,1.2,-0.65±0.67,-6.76±1.05
simple_adversary,ERNIE,0,1.6,-2.78±0.28,-11.07±0.12
simple_adversary,ERNIE,0,2.0,-4.46±0.56,-14.77±0.87
simple_adversary,ERNIE,0,2.4,-5.35±0.27,-17.89±0.96
simple_adversary,ERNIE,0,2.8,-5.87±0.25,-22.27±1.03
simple_adversary,ERNIE,0,3.0,-6.17±0.27,-23.32±0.59
simple_adversary,M3DDPG,0,0.0,3.75±0.48,4.12±0.47
simple_adversary,M3DDPG,0,0.4,2.98±0.94,2.17±0.63
simple_adversary,M3DDPG,0,0.8,0.84±1.03,-0.67±0.60
simple_adversary,M3DDPG,0,1.0,-0.61±0.28,-3.41±0.73
simple_adversary,M3DDPG,0,1.2,-1.23±0.28,-5.86±0.54
simple_adversary,M3DDPG,0,1.6,-3.15±0.40,-10.36±1.19
simple_adversary,M3DDPG,0,2.0,-5.06±0.26,-15.14±0.55
simple_adversary,M3DDPG,0,2.4,-5.77±0.75,-17.52±0.78
simple_adversary,M3DDPG,0,2.8,-5.86±0.45,-21.27±1.28
simple_adversary,M3DDPG,0,3.0,-6.70±0.96,-22.38±0.63
simple_adversary,MADDPG,0,0.0,4.01±0.51,4.60±0.39
simple_adversary,MADDPG,0,0.4,2.88±0.56,1.90±1.27
simple_adversary,MADDPG,0,0.8,0.22±1.29,-1.99±1.69
simple_adversary,MADDPG,0,1.0,-1.54±0.97,-4.55±2.07
simple_adversary,MADDPG,0,1.2,-2.05±0.66,-8.05±2.36
simple_adversary,MADDPG,0,1.6,-4.18±1.44,-12.33±1.54
simple_adversary,MADDPG,0,2.0,-5.58±0.72,-16.85±1.02
simple_adversary,MADDPG,0,2.4,-6.24±0.78,-19.87±1.92
simple_adversary,MADDPG,0,2.8,-6.95±0.90,-22.92±1.86
simple_adversary,MADDPG,0,3.0,-6.69±0.89,-23.45±0.72
simple_adversary,RMAAC,0,0.0,3.42±0.48,3.55±0.28
simple_adversary,RMAAC,0,0.4,2.56±0.01,2.16±0.16
simple_adversary,RMAAC,0,0.8,1.21±0.25,-1.01±0.17
simple_adversary,RMAAC,0,1.0,-0.74±0.22,-3.45±1.19
simple_adversary,RMAAC,0,1.2,-0.80±0.45,-5.46±0.54
simple_adversary,RMAAC,0,1.6,-2.84±0.47,-11.32±0.15
simple_adversary,RMAAC,0,2.0,-4.63±0.32,-15.06±0.20
simple_adversary,RMAAC,0,2.4,-5.14±0.10,-19.02±0.88
simple_adversary,RMAAC,0,2.8,-6.33±0.36,-22.23±0.33
simple_adversary,RMAAC,0,3.0,-6.53±0.74,-23.75±0.45
simple_adversary,ERNIE,1,0.0,1.32±6.34,-2.26±12.95
simple_adversary,ERNIE,1,1.0,-0.81±1.29,-4.11±1.36
simple_adversary,ERNIE,1,2.0,-4.78±0.56,-15.53±0.80
simple_adversary,ERNIE,1,3.0,-6.87±0.77,-23.00±1.27
simple_adversary,M3DDPG,1,0.0,0.26±6.44,-1.61±11.23
simple_adversary,M3DDPG,1,1.0,-0.98±1.19,-4.60±1.90
simple_adversary,M3DDPG,1,2.0,-4.95±0.59,-14.90±0.68
simple_adversary,M3DDPG,1,3.0,-6.45±0.33,-21.73±1.16
simple_adversary,MADDPG,1,0.0,0.91±6.03,-1.50±11.82
simple_adversary,MADDPG,1,1.0,-2.28±0.85,-5.65±1.35
simple_adversary,MADDPG,1,2.0,-5.70±0.55,-17.09±1.17
simple_adversary,MADDPG,1,3.0,-6.90±0.71,-23.94±0.77
simple_adversary,RMAAC,1,0.0,0.32±6.47,-2.06±11.45
simple_adversary,RMAAC,1,1.0,-0.97±1.62,-4.04±2.18
simple_adversary,RMAAC,1,2.0,-4.83±0.46,-15.31±0.61
simple_adversary,RMAAC,1,3.0,-6.50±0.74,-23.41±0.34
simple_push,ERNIE,-1,0.0,-10.76±0.49,-8.60±0.20
simple_push,ERNIE,-1,1.0,-12.16±0.14,-17.00±0.70
simple_push,ERNIE,-1,2.0,-13.23±0.25,-24.21±0.26
simple_push,ERNIE,-1,3.0,-13.63±0.40,-27.68±0.28
simple_push,M3DDPG,-1,0.0,-10.65±0.42,-8.46±0.19
simple_push,M3DDPG,-1,1.0,-12.06±0.23,-16.99±0.40
simple_push,M3DDPG,-1,2.0,-13.02±0.28,-24.09±0.54
simple_push,M3DDPG,-1,3.0,-13.52±0.16,-27.55±0.99
simple_push,MADDPG,-1,0.0,-10.64±0.12,-8.81±0.19
simple_push,MADDPG,-1,1.0,-11.94±0.10,-16.83±0.80
simple_push,MADDPG,-1,2.0,-13.20±0.16,-24.27±1.12
simple_push,MADDPG,-1,3.0,-13.70±0.11,-28.06±0.53
simple_push,RMAAC,-1,0.0,-10.79±0.10,-9.08±0.28
simple_push,RMAAC,-1,1.0,-12.23±0.24,-16.98±0.52
simple_push,RMAAC,-1,2.0,-13.07±0.47,-24.44±0.55
simple_push,RMAAC,-1,3.0,-13.44±0.37,-27.74±0.98
simple_push,ERNIE,0,0.0,-10.58±0.25,-8.60±0.14
simple_push,ERNIE,0,0.4,-11.22±0.30,-10.53±0.24
simple_push,ERNIE,0,0.8,-12.00±0.02,-15.12±0.13
simple_push,ERNIE,0,1.0,-11.96±0.00,-17.21±0.05
simple_push,ERNIE,0,1.2,-12.46±0.33,-19.17±0.20
simple_push,ERNIE,0,1.6,-12.82±0.01,-22.37±0.37
simple_push,ERNIE,0,2.0,-13.23±0.29,-24.84±0.67
simple_push,ERNIE,0,2.4,-13.39±0.16,-26.49±0.23
simple_push,ERNIE,0,2.8,-13.34±0.33,-26.96±0.08
simple_push,ERNIE,0,3.0,-13.54±0.18,-27.69±0.59
simple_push,M3DDPG,0,0.0,-10.67±0.17,-8.50±0.17
simple_push,M3DDPG,0,0.4,-11.23±0.11,-10.16±0.11
simple_push,M3DDPG,0,0.8,-11.88±0.52,-15.04±0.14
simple_push,M3DDPG,0,1.0,-12.22±0.18,-17.35±0.48
simple_push,M3DDPG,0,1.2,-12.48±0.64,-19.16±0.03
simple_push,M3DDPG,0,1.6,-12.79±0.24,-22.48±0.40
simple_push,M3DDPG,0,2.0,-13.13±0.21,-24.61±0.33
simple_push,M3DDPG,0,2.4,-13.26±0.41,-25.66±0.87
simple_push,M3DDPG,0,2.8,-13.55±0.03,-27.75±0.14
