attack,perturbation_level,algorithm,seed,survival_baseline,survival_with_denoiser
delay,1.0,ERNIE,48,16.52,18.02
delay,2.0,ERNIE,48,16.96,17.75
delay,3.0,ERNIE,48,17.38,18.36
delay,5.0,ERNIE,48,18.19,18.67
delay,8.0,ERNIE,48,19.24,19.9
delay,1.0,M3DDPG,48,16.55,18.85
delay,2.0,M3DDPG,48,17.25,19.03
delay,3.0,M3DDPG,48,17.68,19.47
delay,5.0,M3DDPG,48,18.19,19.45
delay,8.0,M3DDPG,48,19.4,20.07
delay,1.0,MADDPG,48,16.22,19.45
delay,2.0,MADDPG,48,16.82,19.49
delay,3.0,MADDPG,48,17.74,19.89
delay,5.0,MADDPG,48,18.72,19.9
delay,8.0,MADDPG,48,19.64,20.58
delay,1.0,RMAAC,48,15.27,17.92
delay,2.0,RMAAC,48,16.52,18.1
delay,3.0,RMAAC,48,17.83,17.92
delay,5.0,RMAAC,48,18.12,18.5
delay,8.0,RMAAC,48,18.73,18.73
delay,1.0,ERNIE,49,15.5,18.32
delay,2.0,ERNIE,49,17.09,18.3
delay,3.0,ERNIE,49,17.46,18.23
delay,5.0,ERNIE,49,18.36,19.58
delay,8.0,ERNIE,49,19.36,20.2
delay,1.0,M3DDPG,49,15.04,18.21
delay,2.0,M3DDPG,49,15.91,17.86
delay,3.0,M3DDPG,49,17.16,17.92
delay,5.0,M3DDPG,49,17.99,19.1
delay,8.0,M3DDPG,49,18.51,20.0
delay,1.0,MADDPG,49,17.12,18.71
delay,2.0,MADDPG,49,17.66,18.59
delay,3.0,MADDPG,49,17.99,18.49
delay,5.0,MADDPG,49,19.26,19.53
delay,8.0,MADDPG,49,20.02,20.09
delay,1.0,RMAAC,49,14.63,17.16
delay,2.0,RMAAC,49,15.72,17.61
delay,3.0,RMAAC,49,16.55,17.29
delay,5.0,RMAAC,49,17.57,18.08
delay,8.0,RMAAC,49,18.11,18.52
fault,0.0,ERNIE,47,13.91,17.21
fault,0.1,ERNIE,47,14.43,17.9
fault,0.25,ERNIE,47,15.91,18.72
fault,0.5,ERNIE,47,17.43,19.02
